timestamp,machine_id,machine_type,line_id,shift,operator_id,product_type,temperature,vibration_level,power_consumption,pressure,material_flow_rate,cycle_time,error_rate,machine_age_hours,last_maintenance_hours,oil_level,lubrication_status,units_produced,downtime,ambient_temperature,humidity,noise_level_db
2025-03-10 08:00:00,M003,Drill,L3,Shift_1_Pagi,OP003,Gear,78.30287890499571,2.043750941064616,23.0598554985039,5.088075725682053,20.01102601237955,118.1465104239191,0.8832458953712125,15200.0,0.0167,94.25,Good,1,0,29.31,71.0,94.2
2025-03-10 08:01:00,M004,Lathe,L1,Shift_1_Pagi,OP003,Shaft,80.87707570955077,2.175589830954901,16.0128139921371,5.412955759250559,18.37573920669749,123.0620582645769,0.7770729421913675,6100.0,0.0167,76.45,Good,0,38,26.84,69.1,79.7
2025-03-10 08:02:00,M001,CNC,L1,Shift_1_Pagi,OP003,Shaft,71.3154179104207,2.154465078822912,15.75916416212722,5.769405395041382,17.11210668111877,122.7540641759175,0.7573741760390094,12500.0,0.0167,75.14,Good,0,37,26.5,65.7,86.6
2025-03-10 08:03:00,M003,Drill,L3,Shift_1_Pagi,OP003,Gear,76.4961977103765,2.24597757579057,16.49026760685616,4.61878381465406,21.09068372222824,118.9902696562349,0.796480892485538,15200.02,0.0334,95.59,Good,0,39,30.7,56.4,73.3
2025-03-10 08:04:00,M003,Drill,L3,Shift_1_Pagi,OP003,Gear,73.61220201721575,2.09730206300446,18.06428629392912,5.431250158317908,20.868592359042,113.749871722062,0.8133609826593059,15200.03,0.0501,92.93,Good,0,0,25.23,64.9,79.4
2025-03-10 08:05:00,M004,Lathe,L1,Shift_1_Pagi,OP003,Shaft,86.82031656468818,7.222654796660699,20.04057209028145,4.965513160797019,20.70063641599036,121.5285059537489,1.0,6100.02,0.0,71.68,Good,0,0,28.31,73.6,94.9
2025-03-10 08:06:00,M001,CNC,L1,Shift_1_Pagi,OP003,Shaft,91.70081258273456,7.427526872011623,27.74665327528312,4.94813077918856,21.95439263291872,122.7571826908777,1.0,12500.02,0.0,71.09,Good,0,0,27.02,66.1,103.6
2025-03-10 08:07:00,M001,CNC,L1,Shift_1_Pagi,OP003,Shaft,70.50532244303739,1.59274473804742,21.38709426682734,4.385387723847185,19.00245216454412,123.629105740194,0.7808862445040687,12500.03,0.0167,75.94,Good,0,0,25.72,63.1,83.9
2025-03-10 08:08:00,M003,Drill,L3,Shift_1_Pagi,OP003,Gear,75.77748575959555,1.729798585246256,18.30281478124956,4.886084236193842,17.85332878584312,121.746463861771,0.7187556669933683,15200.05,0.0668,95.6,Good,0,0,26.93,63.9,79.7
2025-03-10 08:09:00,M002,Welder,L2,Shift_1_Pagi,OP003,Housing,76.42137963729711,1.710739978573027,17.41462908204945,4.601094016812634,19.89495533478793,118.6444242581904,0.7174814762483823,8300.0,0.0167,32.5,Critical,0,0,24.91,64.2,96.1
